author_real_name,author_username,network,post_created_at,raw_body_text,sentiment_score,hashtags,activity_url,is_reshare,is_comment,reach
meh,Evanslwt1,twitter,"January 10th 2022, 00:02 EST",@IanSmit29744947 @augie50 @elonmusk @BLKMDL3 @Tesla I haven't owned a Taycan but I have driven one. Still nothing special. Porsches drive great but at the end of the day you can't change physics and the Taycan is a 5k pound car. If you want handling get a 911 you'll be out of there cheaper.,0,,http://twitter.com/Evanslwt1/statuses/1480404758146039811,FALSE,TRUE,51
TTSPORT BRAKE,TtsportB,twitter,"January 10th 2022, 00:59 EST","Porsche Front Ten back four double callipers ceramic brake set
- Front wheel AK ten piston calipers +STOPFLEX 420x40MPCCb ceramic disc
- Rear four piston calipers +STOPFLEX 410x32mmPCCB Ceramic disc
- Suitable for Porsche Cayenne, Palamera, Taycan and other models https://t.co/KzvXaWnQG0",-0.216,,http://twitter.com/TtsportB/statuses/1480419041470652423,FALSE,FALSE,19
MostlyBullish,Mostly_Bull,twitter,"January 10th 2022, 01:56 EST","@JoshMoe7 @RealTylerW @WholeMarsBlog You're protecting crooks
All I claim is that Lucid is lying about the range, efficiency and the capacity of the battery
EPA It is not a measure of anything
Taycan does more range in real world than EPA range",0,,http://twitter.com/Mostly_Bull/statuses/1480433339358138368,FALSE,TRUE,90
exclusiveglobalnews,exclusivegloba3,twitter,"January 10th 2022, 02:47 EST","Porsche Taycan Turbo S Coupe Video Looks Real, Too Bad It Isn't https://t.co/oja1iLig32",-0.001,,http://twitter.com/exclusivegloba3/statuses/1480446067749572613,FALSE,FALSE,641
FBMyNextCar,FBMyNEXTCar,twitter,"January 10th 2022, 02:48 EST","Porsche Taycan Turbo S Coupe Video Looks Real, Too Bad It Isn't https://t.co/adhArBNdDP",-0.004,,http://twitter.com/FBMyNEXTCar/statuses/1480446321332867072,FALSE,FALSE,118
USA News Lab,USNewsLabOnline,twitter,"January 10th 2022, 02:54 EST","Porsche Taycan Turbo S Coupe Video Looks Real, Too Bad It Isn't https://t.co/RTeFmHejqH",-0.001,,http://twitter.com/USNewsLabOnline/statuses/1480447957015183363,FALSE,FALSE,473
PCarClub,PCardotClub,twitter,"January 10th 2022, 03:29 EST","Porsche Taycan Turbo S Coupe Video Looks Real, Too Bad It Isn't https://t.co/RrbJ4kfLRt #Motor1 https://t.co/ztv93JUImX",-0.02,motor1,http://twitter.com/PCardotClub/statuses/1480456649739411456,FALSE,FALSE,92
Web Sales Promotion,websalespromo,twitter,"January 10th 2022, 03:54 EST",Porsche Taycan Turbo S Coupe Video Looks Real And Too Bad It's Not https://t.co/IYJf2YGOuD https://t.co/D7qpgBmHWS,-0.001,,http://twitter.com/websalespromo/statuses/1480463031381499907,FALSE,FALSE,1061
Apollo,Apo11o,twitter,"January 10th 2022, 04:00 EST",Interesting car day in Hamilton – First Taycan spotted plus G 8 and 22 DP standing still https://t.co/K2MTzSa5Xt,-0.006,,http://twitter.com/Apo11o/statuses/1480464624659087362,FALSE,FALSE,178
N3TSY- its net-sea,N3TSY_,twitter,"January 10th 2022, 04:24 EST","Me: hey landlord there's a couple of bits that need sorting out, walls need re sealing ect. Been quoted £500
Landlord: *gives vague replies*
*also rolls up in a Porsche taycan*",0,,http://twitter.com/N3TSY_/statuses/1480470624422273026,FALSE,FALSE,80
